tau,bandwidth,power,outcome,y_mean
0,MSE-optimal,0.0500000000000001,enrol_year_bac_all_0914,0.943976945244957
0,"(15, 17)",0.0500000000000001,enrol_year_bac_all_0914,0.943976945244957
0.0005,MSE-optimal,0.0505358869070524,enrol_year_bac_all_0914,0.943976945244957
0.0005,"(15, 17)",0.0507842193937688,enrol_year_bac_all_0914,0.943976945244957
0.001,MSE-optimal,0.0521456388896044,enrol_year_bac_all_0914,0.943976945244957
0.001,"(15, 17)",0.0531413380784765,enrol_year_bac_all_0914,0.943976945244957
0.0015,MSE-optimal,0.0548354289096247,enrol_year_bac_all_0914,0.943976945244957
0.0015,"(15, 17)",0.05708442262856,enrol_year_bac_all_0914,0.943976945244957
0.002,MSE-optimal,0.0586152116248166,enrol_year_bac_all_0914,0.943976945244957
0.002,"(15, 17)",0.0626342121400567,enrol_year_bac_all_0914,0.943976945244957
0.0025,MSE-optimal,0.0634982315501234,enrol_year_bac_all_0914,0.943976945244957
0.0025,"(15, 17)",0.0698175995949654,enrol_year_bac_all_0914,0.943976945244957
0.003,MSE-optimal,0.0695003515110742,enrol_year_bac_all_0914,0.943976945244957
0.003,"(15, 17)",0.0786655831862304,enrol_year_bac_all_0914,0.943976945244957
0.0035,MSE-optimal,0.0766392181026395,enrol_year_bac_all_0914,0.943976945244957
0.0035,"(15, 17)",0.0892107628825953,enrol_year_bac_all_0914,0.943976945244957
0.004,MSE-optimal,0.0849332851841096,enrol_year_bac_all_0914,0.943976945244957
0.004,"(15, 17)",0.101484475875817,enrol_year_bac_all_0914,0.943976945244957
0.0045,MSE-optimal,0.0944007203969264,enrol_year_bac_all_0914,0.943976945244957
0.0045,"(15, 17)",0.115513680418263,enrol_year_bac_all_0914,0.943976945244957
0.005,MSE-optimal,0.105058223193556,enrol_year_bac_all_0914,0.943976945244957
0.005,"(15, 17)",0.131317710265881,enrol_year_bac_all_0914,0.943976945244957
0.0055,MSE-optimal,0.116919785812383,enrol_year_bac_all_0914,0.943976945244957
0.0055,"(15, 17)",0.148905030826112,enrol_year_bac_all_0914,0.943976945244957
0.006,MSE-optimal,0.129995430926075,enrol_year_bac_all_0914,0.943976945244957
0.006,"(15, 17)",0.16827013254893,enrol_year_bac_all_0914,0.943976945244957
0.0065,MSE-optimal,0.144289961231741,enrol_year_bac_all_0914,0.943976945244957
0.0065,"(15, 17)",0.189390696562583,enrol_year_bac_all_0914,0.943976945244957
0.007,MSE-optimal,0.159801756951443,enrol_year_bac_all_0914,0.943976945244957
0.007,"(15, 17)",0.212225161667521,enrol_year_bac_all_0914,0.943976945244957
0.0075,MSE-optimal,0.176521656996429,enrol_year_bac_all_0914,0.943976945244957
0.0075,"(15, 17)",0.236710810397682,enrol_year_bac_all_0914,0.943976945244957
0.008,MSE-optimal,0.194431958363082,enrol_year_bac_all_0914,0.943976945244957
0.008,"(15, 17)",0.26276247503389,enrol_year_bac_all_0914,0.943976945244957
0.0085,MSE-optimal,0.213505566144694,enrol_year_bac_all_0914,0.943976945244957
0.0085,"(15, 17)",0.290271942602417,enrol_year_bac_all_0914,0.943976945244957
0.009,MSE-optimal,0.233705323363855,enrol_year_bac_all_0914,0.943976945244957
0.009,"(15, 17)",0.31910811171637,enrol_year_bac_all_0914,0.943976945244957
0.0095,MSE-optimal,0.254983545694264,enrol_year_bac_all_0914,0.943976945244957
0.0095,"(15, 17)",0.349117924623675,enrol_year_bac_all_0914,0.943976945244957
0.01,MSE-optimal,0.277281781125093,enrol_year_bac_all_0914,0.943976945244957
0.01,"(15, 17)",0.380128066283632,enrol_year_bac_all_0914,0.943976945244957
0.0105,MSE-optimal,0.300530808841331,enrol_year_bac_all_0914,0.943976945244957
0.0105,"(15, 17)",0.411947390179286,enrol_year_bac_all_0914,0.943976945244957
0.011,MSE-optimal,0.324650885202766,enrol_year_bac_all_0914,0.943976945244957
0.011,"(15, 17)",0.444369999481234,enrol_year_bac_all_0914,0.943976945244957
0.0115,MSE-optimal,0.349552237888733,enrol_year_bac_all_0914,0.943976945244957
