tau,bandwidth,power,outcome,y_mean
0,MSE-optimal,0.0500000000000001,quality,13.2784468212836
0,"(15, 17)",0.0500000000000001,quality,13.2784468212836
0.001,MSE-optimal,0.0500321903034298,quality,13.2784468212836
0.001,"(15, 17)",0.0500585625041137,quality,13.2784468212836
0.002,MSE-optimal,0.0501287688215454,quality,13.2784468212836
0.002,"(15, 17)",0.0502342751853535,quality,13.2784468212836
0.003,MSE-optimal,0.0502897583558285,quality,13.2784468212836
0.003,"(15, 17)",0.0505272134180024,quality,13.2784468212836
0.004,MSE-optimal,0.0505151968354493,quality,13.2784468212836
0.004,"(15, 17)",0.0509375023848341,quality,13.2784468212836
0.005,MSE-optimal,0.0508051372074332,quality,13.2784468212836
0.005,"(15, 17)",0.0514653164168033,quality,13.2784468212836
0.006,MSE-optimal,0.051159647283118,quality,13.2784468212836
0.006,"(15, 17)",0.052110878071078,quality,13.2784468212836
0.007,MSE-optimal,0.051578809541128,quality,13.2784468212836
0.007,"(15, 17)",0.0528744569498808,quality,13.2784468212836
0.008,MSE-optimal,0.0520627208871553,quality,13.2784468212836
0.008,"(15, 17)",0.0537563682632967,quality,13.2784468212836
0.009,MSE-optimal,0.0526114923708995,quality,13.2784468212836
0.009,"(15, 17)",0.0547569711399029,quality,13.2784468212836
0.01,MSE-optimal,0.0532252488605841,quality,13.2784468212836
0.01,"(15, 17)",0.0558766666897555,quality,13.2784468212836
0.011,MSE-optimal,0.0539041286755286,quality,13.2784468212836
0.011,"(15, 17)",0.0571158958249524,quality,13.2784468212836
0.012,MSE-optimal,0.0546482831773174,quality,13.2784468212836
0.012,"(15, 17)",0.0584751368436556,quality,13.2784468212836
0.013,MSE-optimal,0.0554578763201729,quality,13.2784468212836
0.013,"(15, 17)",0.0599549027841205,quality,13.2784468212836
0.014,MSE-optimal,0.056333084161195,quality,13.2784468212836
0.014,"(15, 17)",0.0615557385559223,quality,13.2784468212836
0.015,MSE-optimal,0.0572740943311974,quality,13.2784468212836
0.015,"(15, 17)",0.0632782178562127,quality,13.2784468212836
0.016,MSE-optimal,0.0582811054669264,quality,13.2784468212836
0.016,"(15, 17)",0.0651229398794526,quality,13.2784468212836
0.017,MSE-optimal,0.0593543266055093,quality,13.2784468212836
0.017,"(15, 17)",0.0670905258296813,quality,13.2784468212836
0.018,MSE-optimal,0.0604939765420388,quality,13.2784468212836
0.018,"(15, 17)",0.0691816152449664,quality,13.2784468212836
0.019,MSE-optimal,0.0617002831512552,quality,13.2784468212836
0.019,"(15, 17)",0.0713968621442532,quality,13.2784468212836
0.02,MSE-optimal,0.0629734826743507,quality,13.2784468212836
0.02,"(15, 17)",0.0737369310073818,quality,13.2784468212836
0.021,MSE-optimal,0.0643138189719675,quality,13.2784468212836
0.021,"(15, 17)",0.0762024925995722,quality,13.2784468212836
0.022,MSE-optimal,0.0657215427445255,quality,13.2784468212836
0.022,"(15, 17)",0.078794219652184,quality,13.2784468212836
0.023,MSE-optimal,0.0671969107210608,quality,13.2784468212836
0.023,"(15, 17)",0.0815127824120427,quality,13.2784468212836
0.024,MSE-optimal,0.0687401848178164,quality,13.2784468212836
0.024,"(15, 17)",0.0843588440720778,quality,13.2784468212836
0.025,MSE-optimal,0.0703516312678701,quality,13.2784468212836
0.025,"(15, 17)",0.087333056096454,quality,13.2784468212836
0.026,MSE-optimal,0.0720315197231412,quality,13.2784468212836
0.026,"(15, 17)",0.0904360534537717,quality,13.2784468212836
0.027,MSE-optimal,0.0737801223301608,quality,13.2784468212836
0.027,"(15, 17)",0.093668449772287,quality,13.2784468212836
0.028,MSE-optimal,0.0755977127810404,quality,13.2784468212836
0.028,"(15, 17)",0.0970308324314385,quality,13.2784468212836
0.029,MSE-optimal,0.0774845653411168,quality,13.2784468212836
0.029,"(15, 17)",0.100523757604272,quality,13.2784468212836
0.03,MSE-optimal,0.0794409538547971,quality,13.2784468212836
0.03,"(15, 17)",0.104147745265621,quality,13.2784468212836
0.031,MSE-optimal,0.0814671507311665,quality,13.2784468212836
0.031,"(15, 17)",0.107903274181145,quality,13.2784468212836
0.032,MSE-optimal,0.0835634259109627,quality,13.2784468212836
0.032,"(15, 17)",0.111790776892492,quality,13.2784468212836
0.033,MSE-optimal,0.0857300458165614,quality,13.2784468212836
0.033,"(15, 17)",0.115810634714055,quality,13.2784468212836
0.034,MSE-optimal,0.0879672722866463,quality,13.2784468212836
0.034,"(15, 17)",0.119963172756847,quality,13.2784468212836
0.035,MSE-optimal,0.0902753614972811,quality,13.2784468212836
0.035,"(15, 17)",0.124248654995139,quality,13.2784468212836
0.036,MSE-optimal,0.0926545628711213,quality,13.2784468212836
0.036,"(15, 17)",0.128667279391515,quality,13.2784468212836
0.037,MSE-optimal,0.0951051179765427,quality,13.2784468212836
0.037,"(15, 17)",0.133219173095965,quality,13.2784468212836
0.038,MSE-optimal,0.0976272594184853,quality,13.2784468212836
0.038,"(15, 17)",0.137904387734615,quality,13.2784468212836
0.039,MSE-optimal,0.100221209722837,quality,13.2784468212836
0.039,"(15, 17)",0.142722894803538,quality,13.2784468212836
0.04,MSE-optimal,0.102887180216206,quality,13.2784468212836
0.04,"(15, 17)",0.147674581182989,quality,13.2784468212836
0.041,MSE-optimal,0.105625369902944,quality,13.2784468212836
0.041,"(15, 17)",0.152759244787143,quality,13.2784468212836
0.042,MSE-optimal,0.108435964341314,quality,13.2784468212836
0.042,"(15, 17)",0.157976590364235,quality,13.2784468212836
0.043,MSE-optimal,0.111319134520686,quality,13.2784468212836
0.043,"(15, 17)",0.163326225461646,quality,13.2784468212836
0.044,MSE-optimal,0.114275035741689,quality,13.2784468212836
0.044,"(15, 17)",0.168807656570163,quality,13.2784468212836
0.045,MSE-optimal,0.117303806501218,quality,13.2784468212836
0.045,"(15, 17)",0.174420285461252,quality,13.2784468212836
0.046,MSE-optimal,0.12040556738424,quality,13.2784468212836
0.046,"(15, 17)",0.180163405730728,quality,13.2784468212836
0.047,MSE-optimal,0.123580419964316,quality,13.2784468212836
0.047,"(15, 17)",0.186036199561728,quality,13.2784468212836
0.048,MSE-optimal,0.126828445714765,quality,13.2784468212836
0.048,"(15, 17)",0.192037734719367,quality,13.2784468212836
0.049,MSE-optimal,0.130149704932403,quality,13.2784468212836
0.049,"(15, 17)",0.198166961788858,quality,13.2784468212836
0.05,MSE-optimal,0.133544235675776,quality,13.2784468212836
0.05,"(15, 17)",0.204422711668292,quality,13.2784468212836
0.051,MSE-optimal,0.137012052719782,quality,13.2784468212836
0.051,"(15, 17)",0.210803693326565,quality,13.2784468212836
0.052,MSE-optimal,0.140553146528603,quality,13.2784468212836
0.052,"(15, 17)",0.217308491836274,quality,13.2784468212836
0.053,MSE-optimal,0.144167482248812,quality,13.2784468212836
0.053,"(15, 17)",0.223935566690629,quality,13.2784468212836
0.054,MSE-optimal,0.147854998724519,quality,13.2784468212836
0.054,"(15, 17)",0.230683250412674,quality,13.2784468212836
0.055,MSE-optimal,0.151615607536406,quality,13.2784468212836
0.055,"(15, 17)",0.237549747464257,quality,13.2784468212836
0.056,MSE-optimal,0.155449192066468,quality,13.2784468212836
0.056,"(15, 17)",0.244533133461373,quality,13.2784468212836
0.057,MSE-optimal,0.15935560659023,quality,13.2784468212836
0.057,"(15, 17)",0.251631354701606,quality,13.2784468212836
0.058,MSE-optimal,0.163334675398223,quality,13.2784468212836
0.058,"(15, 17)",0.258842228008481,quality,13.2784468212836
0.059,MSE-optimal,0.167386191948418,quality,13.2784468212836
0.059,"(15, 17)",0.266163440896616,quality,13.2784468212836
0.06,MSE-optimal,0.171509918051316,quality,13.2784468212836
0.06,"(15, 17)",0.273592552060605,quality,13.2784468212836
0.061,MSE-optimal,0.175705583089329,quality,13.2784468212836
0.061,"(15, 17)",0.281126992189582,quality,13.2784468212836
0.062,MSE-optimal,0.179972883272048,quality,13.2784468212836
0.062,"(15, 17)",0.288764065108427,quality,13.2784468212836
0.063,MSE-optimal,0.18431148092896,quality,13.2784468212836
0.063,"(15, 17)",0.296500949245587,quality,13.2784468212836
0.064,MSE-optimal,0.188721003841099,quality,13.2784468212836
0.064,"(15, 17)",0.304334699426449,quality,13.2784468212836
0.065,MSE-optimal,0.193201044613086,quality,13.2784468212836
0.065,"(15, 17)",0.31226224899021,quality,13.2784468212836
0.066,MSE-optimal,0.197751160086947,quality,13.2784468212836
0.066,"(15, 17)",0.320280412227168,quality,13.2784468212836
0.067,MSE-optimal,0.202370870799034,quality,13.2784468212836
0.067,"(15, 17)",0.328385887132319,quality,13.2784468212836
0.068,MSE-optimal,0.207059660481323,quality,13.2784468212836
0.068,"(15, 17)",0.336575258470194,quality,13.2784468212836
0.069,MSE-optimal,0.211816975608284,quality,13.2784468212836
0.069,"(15, 17)",0.344845001144798,quality,13.2784468212836
0.07,MSE-optimal,0.216642224990468,quality,13.2784468212836
0.07,"(15, 17)",0.353191483867613,quality,13.2784468212836
0.071,MSE-optimal,0.221534779415861,quality,13.2784468212836
0.071,"(15, 17)",0.361610973115582,quality,13.2784468212836
0.072,MSE-optimal,0.226493971340012,quality,13.2784468212836
0.072,"(15, 17)",0.370099637370128,quality,13.2784468212836
0.073,MSE-optimal,0.23151909462584,quality,13.2784468212836
0.073,"(15, 17)",0.378653551627274,quality,13.2784468212836
0.074,MSE-optimal,0.236609404333958,quality,13.2784468212836
0.074,"(15, 17)",0.387268702168098,quality,13.2784468212836
0.075,MSE-optimal,0.241764116564292,quality,13.2784468212836
0.075,"(15, 17)",0.39594099157787,quality,13.2784468212836
0.076,MSE-optimal,0.24698240834964,quality,13.2784468212836
0.076,"(15, 17)",0.404666244001427,quality,13.2784468212836
0.077,MSE-optimal,0.2522634176018,quality,13.2784468212836
0.077,"(15, 17)",0.413440210621534,quality,13.2784468212836
0.078,MSE-optimal,0.257606243110753,quality,13.2784468212836
0.078,"(15, 17)",0.422258575346284,quality,13.2784468212836
0.079,MSE-optimal,0.263009944597331,quality,13.2784468212836
0.079,"(15, 17)",0.431116960690866,quality,13.2784468212836
0.08,MSE-optimal,0.268473542819711,quality,13.2784468212836
0.08,"(15, 17)",0.440010933838416,quality,13.2784468212836
0.081,MSE-optimal,0.273996019733971,quality,13.2784468212836
0.081,"(15, 17)",0.448936012864085,quality,13.2784468212836
0.082,MSE-optimal,0.279576318708872,quality,13.2784468212836
0.082,"(15, 17)",0.457887673105886,quality,13.2784468212836
0.083,MSE-optimal,0.285213344794919,quality,13.2784468212836
0.083,"(15, 17)",0.466861353665469,quality,13.2784468212836
0.084,MSE-optimal,0.290905965047693,quality,13.2784468212836
0.084,"(15, 17)",0.475852464021505,quality,13.2784468212836
0.085,MSE-optimal,0.29665300890531,quality,13.2784468212836
0.085,"(15, 17)",0.484856390738029,quality,13.2784468212836
0.086,MSE-optimal,0.302453268619818,quality,13.2784468212836
0.086,"(15, 17)",0.493868504249794,quality,13.2784468212836
0.087,MSE-optimal,0.308305499742212,quality,13.2784468212836
0.087,"(15, 17)",0.502884165706458,quality,13.2784468212836
