coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,donut,controls,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper
-0.00291302292763174,-0.00379847681153445,0.0391646904436211,0.0400938594882294,0.940708972139469,0.924521651261421,6784,12705,1,0.5,1.57748066900442,16,TRUE,FALSE,"","",-0.0796758161971291,0.0738497703418657,-0.0823824414084641,0.0747854877853952
-0.0144116176909295,-0.0153923152781763,0.0234062250508017,0.0251455681318189,0.538081117324932,0.540452838034872,11400,15285,1,0.6,1.57748066900442,16,TRUE,FALSE,"","",-0.0602878187905009,0.0314645834086419,-0.0646776288165413,0.0338929982601887
-0.0134902187622941,-0.0145665006214144,0.0169229728808443,0.0195029937806123,0.425361486691236,0.455132761001162,15969,17737,1,0.7,1.57748066900442,16,TRUE,FALSE,"","",-0.0466592456087489,0.0196788080841608,-0.0527923684314146,0.0236593671885858
-0.0111836487045993,-0.0123532069797956,0.0133960652022332,0.0167823892944876,0.403804537579762,0.461681075447444,20577,19804,1,0.8,1.57748066900442,16,TRUE,FALSE,"","",-0.0374399365009764,0.0150726390917778,-0.0452466899969912,0.0205402760374
-0.0128135067993735,-0.0140671540809105,0.0112684513349185,0.0153649161022774,0.255490890693334,0.359909620686778,25029,22001,1,0.9,1.57748066900442,16,TRUE,FALSE,"","",-0.0348996714158139,0.00927265781706678,-0.0441823896413743,0.0160480814795532
-0.0158943469977566,-0.0172476970777167,0.00982066407402469,0.0145354304218548,0.105563609676281,0.235386648450115,30292,23489,1,1,1.57748066900442,16,TRUE,FALSE,"","",-0.035142848582845,0.00335415458733179,-0.045737140704552,0.0112417465491187
-0.0153550897018198,-0.0168044050356095,0.00876781713085737,0.0140055586184942,0.0798940207341294,0.230202163162777,36229,25356,1,1.1,1.57748066900442,16,TRUE,FALSE,*,"",-0.0325400112783002,0.00182983187466069,-0.0442552999278581,0.0106464898566391
-0.0148654833586479,-0.016408735912163,0.00797898728623348,0.0136668231618921,0.0624511575205769,0.229896518481928,42201,27135,1,1.2,1.57748066900442,16,TRUE,FALSE,*,"",-0.0305042984396655,0.000773331722369718,-0.0431957093094714,0.0103782374851455
-0.0143518013113579,-0.016009093136885,0.00736021386966964,0.0134603377128583,0.0511860909028457,0.234300784637744,47678,28624,1,1.3,1.57748066900442,16,TRUE,FALSE,*,"",-0.0287778204959104,7.42178731945598e-05,-0.0423913550540873,0.0103731687803173
-0.0138257451961601,-0.0156128385916294,0.00686229788559755,0.0133776151293709,0.0439319116216091,0.243175301119506,53456,30072,1,1.4,1.57748066900442,16,TRUE,FALSE,**,"",-0.0272758490519313,-0.000375641340388901,-0.0418329642451963,0.0106072870619375
