coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,donut,controls,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper
3.0959407218869,2.2812045986675,15.3186888852164,15.5740612747117,0.839836828153627,0.883546729613525,4826,8815,1,0.5,1.71516845085649,16,TRUE,FALSE,"","",-26.9286894931373,33.1205709369111,-28.2439554997675,32.8063646971025
-4.78958733674119,-5.77802390210684,9.19125726286468,9.6587293201955,0.602295354410474,0.549694609185358,8092,10520,1,0.6,1.71516845085649,16,TRUE,FALSE,"","",-22.804451571956,13.2252768984736,-24.70913336969,13.1530855654763
-6.62504430466595,-7.80229105345381,6.58290910466171,7.28925643277114,0.314222858972713,0.284447263842569,11332,12180,1,0.7,1.71516845085649,16,TRUE,FALSE,"","",-19.5275461498029,6.27745754047099,-22.0892336616853,6.48465155477763
-6.83489792237674,-8.21487024433736,5.20194259962243,6.14602176465625,0.18887561825385,0.181348055198026,14590,13551,1,0.8,1.71516845085649,16,TRUE,FALSE,"","",-17.0307054176367,3.36090957288322,-20.2610729030636,3.83133241438889
-6.73718687458688,-8.32953722564866,4.36930028407313,5.52938990843793,0.123088842331316,0.131961538817637,17778,15010,1,0.9,1.71516845085649,16,TRUE,FALSE,"","",-15.3010154313702,1.82664168219646,-19.167141446187,2.50806699488967
-6.28684637817105,-8.11141209841708,3.7941001839259,5.15103532400098,0.0975182828878289,0.115322265937868,21622,16000,1,1,1.71516845085649,16,TRUE,FALSE,*,"",-13.7232827386658,1.14958998232372,-18.207441333459,1.98461713662484
-5.57904616242195,-7.65108348714671,3.38258768578681,4.91178431353629,0.0990774551865757,0.11930452237735,25975,17214,1,1.1,1.71516845085649,16,TRUE,FALSE,*,"",-12.2089180265641,1.05082570172019,-17.2781807416778,1.97601376738443
-4.52480918059632,-6.85533648548858,3.07888623131999,4.75701308410057,0.141663257257078,0.149556140814387,30315,18386,1,1.2,1.71516845085649,16,TRUE,FALSE,"","",-10.5594261939835,1.50980783279086,-16.1790821303257,2.46840915934854
-3.58523523047677,-6.19056720771948,2.84238250579876,4.65380288654697,0.207183273814318,0.183446820437919,34335,19369,1,1.3,1.71516845085649,16,TRUE,FALSE,"","",-9.15630494184235,1.98583448088881,-15.3120208653515,2.93088644991258
-3.22394719507508,-6.12110264132843,2.65212922736563,4.58941935580896,0.224134617254256,0.18228833285677,38604,20320,1,1.4,1.71516845085649,16,TRUE,FALSE,"","",-8.42212048071172,1.97422609056155,-15.116364578714,2.87415929605712
-2.96533912877135,-6.16786551846394,2.496721205941,4.56106792106917,0.234954251675086,0.176284035895905,43380,21034,1,1.5,1.71516845085649,16,TRUE,FALSE,"","",-7.85891269241572,1.92823443487302,-15.1075586437595,2.77182760683163
-2.68366688263484,-6.2104079877563,2.36505197280408,4.57188978790862,0.256493521664551,0.174340061502848,48840,21857,1,1.6,1.71516845085649,16,TRUE,FALSE,"","",-7.31916874933084,1.95183498406116,-15.1713119720572,2.7504959965446
-2.35144248136407,-6.21834369003318,2.25309753109294,4.62954596550764,0.296647917115699,0.17921158854127,54128,22599,1,1.7,1.71516845085649,16,TRUE,FALSE,"","",-6.76751364230624,2.06462867957809,-15.2922537824282,2.8555664023618
-2.16615862263643,-6.39616268386271,2.15509790439818,4.74509811142857,0.314833124356812,0.177673943898915,59584,23237,1,1.8,1.71516845085649,16,TRUE,FALSE,"","",-6.39015051525687,2.05783326998401,-15.6965549822627,2.90422961453729
-2.03298964546707,-6.64623759522954,2.06919926079864,4.91412469875357,0.32585325652746,0.176222969095255,65171,23849,1,1.9,1.71516845085649,16,TRUE,FALSE,"","",-6.0886201966324,2.02264090569826,-16.2779220047865,2.98544681432746
-1.65052889764218,-6.73458948238545,1.98440774318146,5.16802349279512,0.40555070976598,0.192531504093998,77138,24271,1,2,1.71516845085649,16,TRUE,FALSE,"","",-5.53996807427785,2.23891027899349,-16.8639155282639,3.39473656349299
77.1397416261216,76.3029499877257,122.58170001786,122.684420338313,0.529157595656237,0.533978097271383,4826,8815,2,0.5,1.71516845085649,16,TRUE,FALSE,"","",-163.120390408884,317.399873661127,-164.158513875368,316.76441385082
27.4180343284124,26.3225391480178,51.6211018171938,51.9127154755023,0.59532173629167,0.612117076923904,8092,10520,2,0.6,1.71516845085649,16,TRUE,FALSE,"","",-73.7593252332875,128.595393890112,-75.4263831839668,128.071461480002
7.70167406044948,6.33520315049191,30.2897301658843,30.8741268061191,0.799289413738788,0.837420112295903,11332,12180,2,0.7,1.71516845085649,16,TRUE,FALSE,"","",-51.6661970646837,67.0695451855826,-54.1780853895015,66.8484916904853
-4.29156464002881,-5.97987439717235,20.2432621418468,21.2600803778431,0.832107301553311,0.778501457349807,14590,13551,2,0.8,1.71516845085649,16,TRUE,FALSE,"","",-43.9683584380485,35.3852291579908,-47.6496319377449,35.6898831434002
-7.84387904290679,-9.88378795311564,14.9549151812555,16.4975788068185,0.599929609496369,0.549102625047145,17778,15010,2,0.9,1.71516845085649,16,TRUE,FALSE,"","",-37.1555127981676,21.467754712354,-42.2190424144799,22.4514665082486
-9.65765379799359,-12.106266340656,11.6968206773554,13.8264353850093,0.408994231628429,0.381253837571346,21622,16000,2,1,1.71516845085649,16,TRUE,FALSE,"","",-32.5834223256102,13.268114729623,-39.2060796952743,14.9935470139622
-10.4988182421826,-13.3843584195674,9.58132384559243,12.2947180962563,0.273184419524127,0.27631853650979,25975,17214,2,1.1,1.71516845085649,16,TRUE,FALSE,"","",-29.2782129795437,8.28057649517862,-37.4820058882299,10.713289049095
-12.0763191593653,-15.4368702169531,8.11390787605149,11.3750110768133,0.136659122978574,0.174753832268727,30315,18386,2,1.2,1.71516845085649,16,TRUE,FALSE,"","",-27.9795785964262,3.82694027769562,-37.7318919275072,6.85815149360091
-11.4718913117138,-15.3791515423568,7.03604274859217,10.7982958703838,0.103007162537914,0.154382727479059,34335,19369,2,1.3,1.71516845085649,16,TRUE,FALSE,"","",-25.2625350989544,2.3187524755269,-36.543811448309,5.78550836359537
-9.22772266439142,-13.7286962409996,6.22876777138974,10.4430633249406,0.138481797797556,0.188636475217866,38604,20320,2,1.4,1.71516845085649,16,TRUE,FALSE,"","",-21.4361074963153,2.98066216753248,-34.1971003578833,6.73970787588404
-7.59687430387817,-12.7329846340881,5.605572129991,10.2494110447059,0.175342312824374,0.214120811040113,43380,21034,2,1.5,1.71516845085649,16,TRUE,FALSE,"","",-18.5837956786605,3.39004707090419,-32.8218302817116,7.35586101353539
-6.72325859812327,-12.5665054856913,5.10288902884368,10.2151841326006,0.187657801361526,0.21863006418864,48840,21857,2,1.6,1.71516845085649,16,TRUE,FALSE,"","",-16.7249210946569,3.27840389841035,-32.5882663855885,7.45525541420583
-6.37556341393406,-13.0039192506897,4.69768105299264,10.3852137996124,0.174726414902629,0.210512622674727,54128,22599,2,1.7,1.71516845085649,16,TRUE,FALSE,"","",-15.5830182777996,2.83189144993151,-33.35893829793,7.35109979655059
-5.66161248035587,-13.1773882962143,4.35814010129693,10.830885846599,0.193913339297043,0.223737725537159,59584,23237,2,1.8,1.71516845085649,16,TRUE,FALSE,"","",-14.2035670788979,2.88034211818612,-34.4059245555484,8.0511479631198
-5.11207221388759,-13.59489436785,4.07648820650293,11.5294705614783,0.209828096023711,0.238341243438019,65171,23849,2,1.9,1.71516845085649,16,TRUE,FALSE,"","",-13.1019890986333,2.87784467085815,-36.1926566683475,9.00286793264753
-5.35339095275754,-15.3108510697657,3.79610356589331,12.6642872079571,0.158470861017123,0.226671101891017,77138,24271,2,2,1.71516845085649,16,TRUE,FALSE,"","",-12.7937539419084,2.08697203639335,-40.1328539973616,9.5111518578302
