freq,id,year_bac_plus,aidemerite_status
24,1,1,"NO: eligible to need-based grant
but application not finalised
enrolled"
24,1,2,"NO: eligible to need-based grant
but application not finalised
enrolled"
24,1,3,NO: should have
8,2,1,"NO: eligible to need-based grant
but application not finalised
enrolled"
8,2,2,"NO: eligible to need-based grant
but application not finalised
enrolled"
8,2,3,YES: received
2,3,1,"NO: eligible to need-based grant
but application not finalised
enrolled"
2,3,2,"NO: eligible to need-based grant
but application not finalised
not enrolled"
2,3,3,NO: should have
1,4,1,"NO: eligible to need-based grant
but application not finalised
enrolled"
1,4,2,"NO: eligible to need-based grant
but application not finalised
not enrolled"
1,4,3,YES: received
1,5,1,"NO: eligible to need-based grant
but application not finalised
enrolled"
1,5,2,"NO: eligible to need-based grant
not enrolled"
1,5,3,YES: received
19,6,1,"NO: eligible to need-based grant
but application not finalised
enrolled"
19,6,2,"NO: not eligible to
need-based grant
but enrolled"
19,6,3,NO: should have
7,7,1,"NO: eligible to need-based grant
but application not finalised
enrolled"
7,7,2,"NO: not eligible to
need-based grant
but enrolled"
7,7,3,YES: received
23,8,1,"NO: eligible to need-based grant
but application not finalised
enrolled"
23,8,2,NO: should have
23,8,3,"NO: eligible to need-based grant
but application not finalised
enrolled"
4,9,1,"NO: eligible to need-based grant
but application not finalised
enrolled"
4,9,2,NO: should have
4,9,3,"NO: eligible to need-based grant
but application not finalised
not enrolled"
1,10,1,"NO: eligible to need-based grant
but application not finalised
enrolled"
1,10,2,NO: should have
1,10,3,"NO: eligible to need-based grant
not enrolled"
21,11,1,"NO: eligible to need-based grant
but application not finalised
enrolled"
21,11,2,NO: should have
21,11,3,"NO: not eligible to
need-based grant
but enrolled"
2,12,1,"NO: eligible to need-based grant
but application not finalised
enrolled"
2,12,2,NO: should have
2,12,3,"NO: not eligible to need-based grant
and not enrolled"
190,13,1,"NO: eligible to need-based grant
but application not finalised
enrolled"
190,13,2,NO: should have
190,13,3,NO: should have
42,14,1,"NO: eligible to need-based grant
but application not finalised
enrolled"
42,14,2,NO: should have
42,14,3,YES: received
55,15,1,"NO: eligible to need-based grant
but application not finalised
enrolled"
55,15,2,NO: should have
55,15,3,
28,16,1,"NO: eligible to need-based grant
but application not finalised
enrolled"
28,16,2,YES: received
28,16,3,"NO: eligible to need-based grant
but application not finalised
enrolled"
2,17,1,"NO: eligible to need-based grant
but application not finalised
enrolled"
2,17,2,YES: received
2,17,3,"NO: eligible to need-based grant
but application not finalised
not enrolled"
1,18,1,"NO: eligible to need-based grant
but application not finalised
enrolled"
1,18,2,YES: received
1,18,3,"NO: eligible to need-based grant
not enrolled"
32,19,1,"NO: eligible to need-based grant
but application not finalised
enrolled"
32,19,2,YES: received
32,19,3,"NO: not eligible to
need-based grant
but enrolled"
1,20,1,"NO: eligible to need-based grant
but application not finalised
enrolled"
1,20,2,YES: received
1,20,3,"NO: not eligible to need-based grant
and not enrolled"
26,21,1,"NO: eligible to need-based grant
but application not finalised
enrolled"
26,21,2,YES: received
26,21,3,NO: should have
195,22,1,"NO: eligible to need-based grant
but application not finalised
enrolled"
195,22,2,YES: received
195,22,3,YES: received
34,23,1,"NO: eligible to need-based grant
but application not finalised
enrolled"
34,23,2,YES: received
34,23,3,
172,24,1,"NO: eligible to need-based grant
but application not finalised
enrolled"
172,24,2,
172,24,3,NO: should have
32,25,1,"NO: eligible to need-based grant
but application not finalised
enrolled"
32,25,2,
32,25,3,YES: received
1,26,1,"NO: eligible to need-based grant
but application not finalised
not enrolled"
1,26,2,"NO: eligible to need-based grant
but application not finalised
enrolled"
1,26,3,YES: received
5,27,1,"NO: eligible to need-based grant
but application not finalised
not enrolled"
5,27,2,"NO: eligible to need-based grant
but application not finalised
not enrolled"
5,27,3,NO: should have
4,28,1,"NO: eligible to need-based grant
but application not finalised
not enrolled"
4,28,2,"NO: eligible to need-based grant
not enrolled"
4,28,3,NO: should have
2,29,1,"NO: eligible to need-based grant
but application not finalised
not enrolled"
2,29,2,"NO: eligible to need-based grant
not enrolled"
2,29,3,YES: received
1,30,1,"NO: eligible to need-based grant
but application not finalised
not enrolled"
1,30,2,"NO: not eligible to need-based grant
and not enrolled"
1,30,3,NO: should have
1,31,1,"NO: eligible to need-based grant
but application not finalised
not enrolled"
1,31,2,NO: should have
1,31,3,"NO: eligible to need-based grant
but application not finalised
enrolled"
4,32,1,"NO: eligible to need-based grant
but application not finalised
not enrolled"
4,32,2,NO: should have
4,32,3,"NO: eligible to need-based grant
but application not finalised
not enrolled"
7,33,1,"NO: eligible to need-based grant
but application not finalised
not enrolled"
7,33,2,NO: should have
7,33,3,"NO: not eligible to
need-based grant
but enrolled"
65,34,1,"NO: eligible to need-based grant
but application not finalised
not enrolled"
65,34,2,NO: should have
65,34,3,NO: should have
9,35,1,"NO: eligible to need-based grant
but application not finalised
not enrolled"
9,35,2,NO: should have
9,35,3,YES: received
6,36,1,"NO: eligible to need-based grant
but application not finalised
not enrolled"
6,36,2,NO: should have
6,36,3,
1,37,1,"NO: eligible to need-based grant
but application not finalised
not enrolled"
1,37,2,YES: received
1,37,3,"NO: eligible to need-based grant
but application not finalised
enrolled"
1,38,1,"NO: eligible to need-based grant
but application not finalised
not enrolled"
1,38,2,YES: received
1,38,3,"NO: eligible to need-based grant
not enrolled"
1,39,1,"NO: eligible to need-based grant
but application not finalised
not enrolled"
1,39,2,YES: received
1,39,3,"NO: not eligible to
need-based grant
but enrolled"
1,40,1,"NO: eligible to need-based grant
but application not finalised
not enrolled"
1,40,2,YES: received
1,40,3,"NO: not eligible to need-based grant
and not enrolled"
6,41,1,"NO: eligible to need-based grant
but application not finalised
not enrolled"
6,41,2,YES: received
6,41,3,NO: should have
31,42,1,"NO: eligible to need-based grant
but application not finalised
not enrolled"
31,42,2,YES: received
31,42,3,YES: received
5,43,1,"NO: eligible to need-based grant
but application not finalised
not enrolled"
5,43,2,YES: received
5,43,3,
35,44,1,"NO: eligible to need-based grant
but application not finalised
not enrolled"
35,44,2,
35,44,3,NO: should have
16,45,1,"NO: eligible to need-based grant
but application not finalised
not enrolled"
16,45,2,
16,45,3,YES: received
3,46,1,"NO: eligible to need-based grant
not enrolled"
3,46,2,"NO: eligible to need-based grant
but application not finalised
enrolled"
3,46,3,NO: should have
3,47,1,"NO: eligible to need-based grant
not enrolled"
3,47,2,"NO: eligible to need-based grant
but application not finalised
not enrolled"
3,47,3,NO: should have
8,48,1,"NO: eligible to need-based grant
not enrolled"
8,48,2,"NO: eligible to need-based grant
not enrolled"
8,48,3,NO: should have
5,49,1,"NO: eligible to need-based grant
not enrolled"
5,49,2,"NO: eligible to need-based grant
not enrolled"
5,49,3,YES: received
1,50,1,"NO: eligible to need-based grant
not enrolled"
1,50,2,NO: should have
1,50,3,"NO: eligible to need-based grant
but application not finalised
enrolled"
3,51,1,"NO: eligible to need-based grant
not enrolled"
3,51,2,NO: should have
3,51,3,"NO: not eligible to
need-based grant
but enrolled"
1,52,1,"NO: eligible to need-based grant
not enrolled"
1,52,2,NO: should have
1,52,3,"NO: not eligible to need-based grant
and not enrolled"
31,53,1,"NO: eligible to need-based grant
not enrolled"
31,53,2,NO: should have
31,53,3,NO: should have
3,54,1,"NO: eligible to need-based grant
not enrolled"
3,54,2,NO: should have
3,54,3,YES: received
6,55,1,"NO: eligible to need-based grant
not enrolled"
6,55,2,NO: should have
6,55,3,
1,56,1,"NO: eligible to need-based grant
not enrolled"
1,56,2,YES: received
1,56,3,"NO: eligible to need-based grant
but application not finalised
not enrolled"
2,57,1,"NO: eligible to need-based grant
not enrolled"
2,57,2,YES: received
2,57,3,"NO: not eligible to
need-based grant
but enrolled"
1,58,1,"NO: eligible to need-based grant
not enrolled"
1,58,2,YES: received
1,58,3,NO: should have
27,59,1,"NO: eligible to need-based grant
not enrolled"
27,59,2,YES: received
27,59,3,YES: received
9,60,1,"NO: eligible to need-based grant
not enrolled"
9,60,2,YES: received
9,60,3,
4,61,1,"NO: eligible to need-based grant
not enrolled"
4,61,2,
4,61,3,NO: should have
2,62,1,NO: should have
2,62,2,"NO: eligible to need-based grant
but application not finalised
enrolled"
2,62,3,"NO: eligible to need-based grant
but application not finalised
enrolled"
2,63,1,NO: should have
2,63,2,"NO: eligible to need-based grant
but application not finalised
enrolled"
2,63,3,"NO: eligible to need-based grant
but application not finalised
not enrolled"
1,64,1,NO: should have
1,64,2,"NO: eligible to need-based grant
but application not finalised
enrolled"
1,64,3,"NO: eligible to need-based grant
not enrolled"
3,65,1,NO: should have
3,65,2,"NO: eligible to need-based grant
but application not finalised
enrolled"
3,65,3,"NO: not eligible to
need-based grant
but enrolled"
11,66,1,NO: should have
11,66,2,"NO: eligible to need-based grant
but application not finalised
enrolled"
11,66,3,NO: should have
3,67,1,NO: should have
3,67,2,"NO: eligible to need-based grant
but application not finalised
enrolled"
3,67,3,YES: received
11,68,1,NO: should have
11,68,2,"NO: eligible to need-based grant
but application not finalised
enrolled"
11,68,3,
1,69,1,NO: should have
1,69,2,"NO: eligible to need-based grant
but application not finalised
not enrolled"
1,69,3,"NO: eligible to need-based grant
not enrolled"
4,70,1,NO: should have
4,70,2,"NO: eligible to need-based grant
but application not finalised
not enrolled"
4,70,3,NO: should have
1,71,1,NO: should have
1,71,2,"NO: eligible to need-based grant
but application not finalised
not enrolled"
1,71,3,YES: received
28,72,1,NO: should have
28,72,2,"NO: eligible to need-based grant
but application not finalised
not enrolled"
28,72,3,
6,73,1,NO: should have
6,73,2,"NO: eligible to need-based grant
not enrolled"
6,73,3,"NO: eligible to need-based grant
not enrolled"
2,74,1,NO: should have
2,74,2,"NO: eligible to need-based grant
not enrolled"
2,74,3,"NO: not eligible to
need-based grant
but enrolled"
3,75,1,NO: should have
3,75,2,"NO: eligible to need-based grant
not enrolled"
3,75,3,NO: should have
1,76,1,NO: should have
1,76,2,"NO: eligible to need-based grant
not enrolled"
1,76,3,YES: received
5,77,1,NO: should have
5,77,2,"NO: eligible to need-based grant
not enrolled"
5,77,3,
1,78,1,NO: should have
1,78,2,"NO: not eligible to
need-based grant
but enrolled"
1,78,3,"NO: eligible to need-based grant
but application not finalised
enrolled"
1,79,1,NO: should have
1,79,2,"NO: not eligible to
need-based grant
but enrolled"
1,79,3,"NO: eligible to need-based grant
but application not finalised
not enrolled"
27,80,1,NO: should have
27,80,2,"NO: not eligible to
need-based grant
but enrolled"
27,80,3,"NO: not eligible to
need-based grant
but enrolled"
1,81,1,NO: should have
1,81,2,"NO: not eligible to
need-based grant
but enrolled"
1,81,3,"NO: not eligible to need-based grant
and not enrolled"
15,82,1,NO: should have
15,82,2,"NO: not eligible to
need-based grant
but enrolled"
15,82,3,NO: should have
7,83,1,NO: should have
7,83,2,"NO: not eligible to
need-based grant
but enrolled"
7,83,3,YES: received
70,84,1,NO: should have
70,84,2,"NO: not eligible to
need-based grant
but enrolled"
70,84,3,
1,85,1,NO: should have
1,85,2,"NO: not eligible to need-based grant
and not enrolled"
1,85,3,NO: should have
6,86,1,NO: should have
6,86,2,"NO: not eligible to need-based grant
and not enrolled"
6,86,3,
47,87,1,NO: should have
47,87,2,NO: should have
47,87,3,"NO: eligible to need-based grant
but application not finalised
enrolled"
13,88,1,NO: should have
13,88,2,NO: should have
13,88,3,"NO: eligible to need-based grant
but application not finalised
not enrolled"
14,89,1,NO: should have
14,89,2,NO: should have
14,89,3,"NO: eligible to need-based grant
not enrolled"
77,90,1,NO: should have
77,90,2,NO: should have
77,90,3,"NO: not eligible to
need-based grant
but enrolled"
5,91,1,NO: should have
5,91,2,NO: should have
5,91,3,"NO: not eligible to need-based grant
and not enrolled"
835,92,1,NO: should have
835,92,2,NO: should have
835,92,3,NO: should have
125,93,1,NO: should have
125,93,2,NO: should have
125,93,3,YES: received
178,94,1,NO: should have
178,94,2,NO: should have
178,94,3,
27,95,1,NO: should have
27,95,2,YES: received
27,95,3,"NO: eligible to need-based grant
but application not finalised
enrolled"
9,96,1,NO: should have
9,96,2,YES: received
9,96,3,"NO: eligible to need-based grant
but application not finalised
not enrolled"
4,97,1,NO: should have
4,97,2,YES: received
4,97,3,"NO: eligible to need-based grant
not enrolled"
34,98,1,NO: should have
34,98,2,YES: received
34,98,3,"NO: not eligible to
need-based grant
but enrolled"
3,99,1,NO: should have
3,99,2,YES: received
3,99,3,"NO: not eligible to need-based grant
and not enrolled"
64,100,1,NO: should have
64,100,2,YES: received
64,100,3,NO: should have
511,101,1,NO: should have
511,101,2,YES: received
511,101,3,YES: received
59,102,1,NO: should have
59,102,2,YES: received
59,102,3,
6,103,1,NO: should have
6,103,2,
