freq,id,year_bac_plus,echelon
30886,1,1,0
30886,1,2,0
30886,1,3,0
11000,2,1,0
11000,2,2,0
11000,2,3,0bis
3542,3,1,0
3542,3,2,0
3542,3,3,1
506,4,1,0
506,4,2,0
506,4,3,2
289,5,1,0
289,5,2,0
289,5,3,3
170,6,1,0
170,6,2,0
170,6,3,4
197,7,1,0
197,7,2,0
197,7,3,5
121,8,1,0
121,8,2,0
121,8,3,6
12,9,1,0
12,9,2,0
12,9,3,7
7630,10,1,0
7630,10,2,0
7630,10,3,"enrolled + FA app.
but not eligible"
980,11,1,0
980,11,2,0
980,11,3,"not enrolled + FA app.
but not eligible"
18337,12,1,0
18337,12,2,0
18337,12,3,
1424,13,1,0
1424,13,2,0bis
1424,13,3,0
9703,14,1,0
9703,14,2,0bis
9703,14,3,0bis
1084,15,1,0
1084,15,2,0bis
1084,15,3,1
152,16,1,0
152,16,2,0bis
152,16,3,2
75,17,1,0
75,17,2,0bis
75,17,3,3
60,18,1,0
60,18,2,0bis
60,18,3,4
56,19,1,0
56,19,2,0bis
56,19,3,5
29,20,1,0
29,20,2,0bis
29,20,3,6
8,21,1,0
8,21,2,0bis
8,21,3,7
1765,22,1,0
1765,22,2,0bis
1765,22,3,"enrolled + FA app.
but not eligible"
272,23,1,0
272,23,2,0bis
272,23,3,"not enrolled + FA app.
but not eligible"
3730,24,1,0
3730,24,2,0bis
3730,24,3,
1774,25,1,0
1774,25,2,1
1774,25,3,0
1590,26,1,0
1590,26,2,1
1590,26,3,0bis
3467,27,1,0
3467,27,2,1
3467,27,3,1
532,28,1,0
532,28,2,1
532,28,3,2
268,29,1,0
268,29,2,1
268,29,3,3
138,30,1,0
138,30,2,1
138,30,3,4
154,31,1,0
154,31,2,1
154,31,3,5
57,32,1,0
57,32,2,1
57,32,3,6
20,33,1,0
20,33,2,1
20,33,3,7
498,34,1,0
498,34,2,1
498,34,3,"enrolled + FA app.
but not eligible"
98,35,1,0
98,35,2,1
98,35,3,"not enrolled + FA app.
but not eligible"
2484,36,1,0
2484,36,2,1
2484,36,3,
158,37,1,0
158,37,2,2
158,37,3,0
159,38,1,0
159,38,2,2
159,38,3,0bis
419,39,1,0
419,39,2,2
419,39,3,1
335,40,1,0
335,40,2,2
335,40,3,2
161,41,1,0
161,41,2,2
161,41,3,3
82,42,1,0
82,42,2,2
82,42,3,4
56,43,1,0
56,43,2,2
56,43,3,5
33,44,1,0
33,44,2,2
33,44,3,6
3,45,1,0
3,45,2,2
3,45,3,7
84,46,1,0
84,46,2,2
84,46,3,"enrolled + FA app.
but not eligible"
20,47,1,0
20,47,2,2
20,47,3,"not enrolled + FA app.
but not eligible"
409,48,1,0
409,48,2,2
409,48,3,
97,49,1,0
97,49,2,3
97,49,3,0
64,50,1,0
64,50,2,3
64,50,3,0bis
177,51,1,0
177,51,2,3
177,51,3,1
158,52,1,0
158,52,2,3
158,52,3,2
242,53,1,0
242,53,2,3
242,53,3,3
121,54,1,0
121,54,2,3
121,54,3,4
76,55,1,0
76,55,2,3
76,55,3,5
31,56,1,0
31,56,2,3
31,56,3,6
3,57,1,0
