pcs_depp,echelon,n,n_obs,pct,order,pct_pcs_depp,echelon_pct
High SES,0,40110,193356,0.175513634903028,1,0.20744119654937,"Echelon 0
(18%)"
High SES,0bis,11158,60653,0.0550561063415325,2,0.183964519479663,"Echelon 0bis
(6%)"
High SES,1,31913,182234,0.165417942773529,3,0.175120998276941,"Echelon 1
(17%)"
High SES,2,15599,95879,0.0870315469955286,4,0.162694646377205,"Echelon 2
(9%)"
High SES,3,14010,96263,0.0873801125213088,5,0.145538784371981,"Echelon 3
(9%)"
High SES,4,11697,93473,0.0848475661230618,6,0.125137740310036,"Echelon 4
(8%)"
High SES,5,15855,174037,0.157977339609933,7,0.0911013175359263,"Echelon 5
(16%)"
High SES,6,9217,182492,0.165652135236162,8,0.0505063235648686,"Echelon 6
(17%)"
High SES,7,777,23271,0.0211236154959162,9,0.033389196854454,"Echelon 7
(2%)"
Low SES,0,47724,193356,0.175513634903028,1,0.246819338422392,"Echelon 0
(18%)"
Low SES,0bis,17008,60653,0.0550561063415325,2,0.280414818722899,"Echelon 0bis
(6%)"
Low SES,1,57296,182234,0.165417942773529,3,0.314408946738808,"Echelon 1
(17%)"
Low SES,2,32079,95879,0.0870315469955286,4,0.334577957634101,"Echelon 2
(9%)"
Low SES,3,34255,96263,0.0873801125213088,5,0.355848041303512,"Echelon 3
(9%)"
Low SES,4,36421,93473,0.0848475661230618,6,0.389641928685289,"Echelon 4
(8%)"
Low SES,5,77616,174037,0.157977339609933,7,0.445974131937462,"Echelon 5
(16%)"
Low SES,6,94437,182492,0.165652135236162,8,0.5174856980032,"Echelon 6
(17%)"
Low SES,7,13544,23271,0.0211236154959162,9,0.582011946199132,"Echelon 7
(2%)"
Middle SES,0,52079,193356,0.175513634903028,1,0.269342559837812,"Echelon 0
(18%)"
Middle SES,0bis,17407,60653,0.0550561063415325,2,0.286993223748207,"Echelon 0bis
(6%)"
Middle SES,1,54648,182234,0.165417942773529,3,0.299878178605529,"Echelon 1
(17%)"
Middle SES,2,30645,95879,0.0870315469955286,4,0.319621606399733,"Echelon 2
(9%)"
Middle SES,3,32238,96263,0.0873801125213088,5,0.334895027165162,"Echelon 3
(9%)"
Middle SES,4,31559,93473,0.0848475661230618,6,0.337626908305072,"Echelon 4
(8%)"
Middle SES,5,55920,174037,0.157977339609933,7,0.321310985595017,"Echelon 5
(16%)"
Middle SES,6,47171,182492,0.165652135236162,8,0.258482563619227,"Echelon 6
(17%)"
Middle SES,7,4008,23271,0.0211236154959162,9,0.172231532809076,"Echelon 7
(2%)"
Missing,0,4317,193356,0.175513634903028,1,0.0223266927325762,"Echelon 0
(18%)"
Missing,0bis,1620,60653,0.0550561063415325,2,0.0267093136365885,"Echelon 0bis
(6%)"
Missing,1,5408,182234,0.165417942773529,3,0.029676130689114,"Echelon 1
(17%)"
Missing,2,3621,95879,0.0870315469955286,4,0.0377663513386664,"Echelon 2
(9%)"
Missing,3,4135,96263,0.0873801125213088,5,0.0429552372147139,"Echelon 3
(9%)"
Missing,4,4646,93473,0.0848475661230618,6,0.0497041926545634,"Echelon 4
(8%)"
Missing,5,10599,174037,0.157977339609933,7,0.0609008429242058,"Echelon 5
(16%)"
Missing,6,18487,182492,0.165652135236162,8,0.101303070819543,"Echelon 6
(17%)"
Missing,7,3583,23271,0.0211236154959162,9,0.153968458596536,"Echelon 7
(2%)"
Very High SES,0,49126,193356,0.175513634903028,1,0.25407021245785,"Echelon 0
(18%)"
Very High SES,0bis,13460,60653,0.0550561063415325,2,0.221918124412642,"Echelon 0bis
(6%)"
Very High SES,1,32969,182234,0.165417942773529,3,0.180915745689608,"Echelon 1
(17%)"
Very High SES,2,13935,95879,0.0870315469955286,4,0.145339438250295,"Echelon 2
(9%)"
Very High SES,3,11625,96263,0.0873801125213088,5,0.120762909944631,"Echelon 3
(9%)"
Very High SES,4,9150,93473,0.0848475661230618,6,0.0978892300450397,"Echelon 4
(8%)"
Very High SES,5,14047,174037,0.157977339609933,7,0.0807127220073892,"Echelon 5
(16%)"
Very High SES,6,13180,182492,0.165652135236162,8,0.0722223439931613,"Echelon 6
(17%)"
Very High SES,7,1359,23271,0.0211236154959162,9,0.0583988655408019,"Echelon 7
(2%)"
